First Dose,Second Dose,Total Doses,Male,Female,State,Vaccine
22474,22922,45396,43561,1835,Ladakh,Covishield
23245,46270,69515,67961,1554,Uttar Pradesh,Covishield
19786,6926,26712,21219,5493,Uttarakhand,Covishield
25331,10570,35901,13303,22598,Andhra Pradesh,Covishield
32808,1799,34607,34400,207,Delhi,Covishield
49292,39148,88440,33788,54652,Haryana,Covishield
31795,20438,52233,52152,81,Karnataka,Covishield
41409,45697,87106,18170,68936,Kerala,Covishield
6768,41069,47837,33592,14245,Maharashtra,Covishield
36906,43246,80152,16702,63450,Odisha,Covishield
47269,16503,63772,20885,42887,Punjab,Covishield
43708,14904,58612,38485,20127,Rajasthan,Covishield
15576,24956,40532,36739,3793,Tamil Nadu,Covishield
16577,11796,28373,5068,23305,Telengana,Covishield
20009,10836,30845,20332,10513,Jammu and Kashmir,Covishield
20066,7841,27907,7490,20417,Ladakh,Covishield
23178,14093,37271,28257,9014,Uttar Pradesh,Covishield
18922,9784,28706,14149,14557,Uttarakhand,Covishield
44918,34026,78944,67435,11509,Andhra Pradesh,Covishield
17823,34967,52790,40819,11971,Delhi,Covishield
25854,38468,64322,25223,39099,Haryana,Covishield
18803,16047,34850,19610,15240,Karnataka,Covishield
12665,19419,32084,15537,16547,Kerala,Covishield
1682,35355,37037,30607,6430,Maharashtra,Covishield
15009,33474,48483,23527,24956,Odisha,Covishield
26115,21087,47202,7097,40105,Puducherry,Covishield
2617,14874,17491,7137,10354,Punjab,Covishield
41783,5926,47709,33295,14414,Rajasthan,Covishield
27875,16028,43903,20714,23189,Tamil Nadu,Covishield
39587,1678,41265,34180,7085,Telengana,Covishield
4371,29788,34159,24102,10057,Jammu and Kashmir,Covishield
36426,47905,84331,11502,72829,Ladakh,Covishield
44092,34812,78904,55833,23071,Uttar Pradesh,Covishield
9561,27487,37048,32799,4249,Uttarakhand,Covishield
45567,6740,52307,24157,28150,West Bengal,Covishield
24992,21267,46259,43008,3251,Andhra Pradesh,Covishield
37363,14197,51560,26079,25481,Chhattisgarh,Covishield
26472,28446,54918,54327,591,Delhi,Covishield
43764,24238,68002,17770,50232,Haryana,Covishield
32532,7436,39968,34662,5306,Karnataka,Covishield
41215,15336,56551,18770,37781,Kerala,Covishield
20523,8626,29149,18798,10351,Maharashtra,Covishield
31342,41661,73003,11197,61806,Odisha,Covishield
33727,11418,45145,8886,36259,Puducherry,Covishield
23470,28609,52079,33783,18296,Punjab,Covishield
20137,14601,34738,16905,17833,Rajasthan,Covishield
22159,34199,56358,32493,23865,Tamil Nadu,Covishield
18912,28747,47659,22711,24948,Telengana,Covishield
7852,21968,29820,19168,10652,Chandigarh,Covishield
17250,37000,54250,30236,24014,Jammu and Kashmir,Covishield
11528,39001,50529,12497,38032,Ladakh,Covishield
19173,47168,66341,6662,59679,Uttar Pradesh,Covishield
31152,23217,54369,5769,48600,Uttarakhand,Covishield
6591,9063,15654,13793,1861,West Bengal,Covishield
4198,28507,32705,8875,23830,Andhra Pradesh,Covishield
25750,41746,67496,28166,39330,Chhattisgarh,Covishield
14234,21013,35247,18653,16594,Delhi,Covishield
11534,7781,19315,10191,9124,Gujarat,Covishield
45623,46922,92545,46462,46083,Haryana,Covishield
22097,18112,40209,7599,32610,Karnataka,Covishield
33225,45949,79174,28763,50411,Kerala,Covishield
37934,24975,62909,51885,11024,Maharashtra,Covishield
46906,5949,52855,41028,11827,Odisha,Covishield
49386,2295,51681,36021,15660,Puducherry,Covishield
36971,9259,46230,19237,26993,Punjab,Covishield
15504,11311,26815,7336,19479,Rajasthan,Covishield
17580,16996,34576,29478,5098,Tamil Nadu,Covishield
20165,24177,44342,23060,21282,Telengana,Covishield
5162,43054,48216,41517,6699,Chandigarh,Covishield
33622,15233,48855,25518,23337,Jammu and Kashmir,Covishield
2002,2289,4291,#NUM!,#NUM!,Ladakh,Covishield
13498,33518,47016,27638,19378,Uttar Pradesh,Covishield
41969,38956,80925,21406,59519,Uttarakhand,Covishield
10898,21845,32743,6862,25881,West Bengal,Covishield
30371,15517,45888,35278,10610,Andhra Pradesh,Covishield
13899,36270,50169,7114,43055,Chhattisgarh,Covishield
15446,14299,29745,23657,6088,Delhi,Covishield
19575,37983,57558,9920,47638,Gujarat,Covishield
44629,1588,46217,36833,9384,Haryana,Covishield
32457,1557,34014,33785,229,Himachal Pradesh,Covishield
41744,48739,90483,70199,20284,Karnataka,Covishield
3611,21895,25506,7904,17602,Kerala,Covishield
47080,46897,93977,78889,15088,Madhya Pradesh,Covishield
49971,28753,78724,21289,57435,Maharashtra,Covishield
30366,15906,46272,21193,25079,Odisha,Covishield
31623,26849,58472,54181,4291,Puducherry,Covishield
25919,28381,54300,7865,46435,Punjab,Covishield
46772,7113,53885,8587,45298,Rajasthan,Covishield
10107,10201,20308,17738,2570,Tamil Nadu,Covishield
7499,48129,55628,29890,25738,Telengana,Covishield
22811,23199,46010,32843,13167,Chandigarh,Covishield
28034,18371,46405,18362,28043,Jammu and Kashmir,Covishield
8265,35096,43361,37112,6249,Ladakh,Covishield
30081,32500,62581,8670,53911,Uttar Pradesh,Covishield
23773,4969,28742,18181,10561,Uttarakhand,Covishield
30200,23807,54007,27776,26231,West Bengal,Covishield
19528,33490,53018,48187,4831,Andhra Pradesh,Covishield
1915,4662,6577,5471,1106,Bihar,Covishield
10733,7579,18312,16851,1461,Chhattisgarh,Covishield
26455,18332,44787,43734,1053,Delhi,Covishield
3443,42736,46179,16088,30091,Gujarat,Covishield
34462,16493,50955,46502,4453,Haryana,Covishield
5692,36582,42274,7397,34877,Himachal Pradesh,Covishield
12671,9068,21739,15949,5790,Karnataka,Covishield
21557,29032,50589,6884,43705,Kerala,Covishield
33283,42304,75587,43889,31698,Madhya Pradesh,Covishield
24607,23277,47884,33051,14833,Maharashtra,Covishield
27314,8062,35376,8034,27342,Odisha,Covishield
15787,18192,33979,11946,22033,Puducherry,Covishield
20998,26998,47996,23298,24698,Punjab,Covishield
13850,21052,34902,12727,22175,Rajasthan,Covishield
23182,41544,64726,35842,28884,Tamil Nadu,Covishield
35328,48119,83447,40749,42698,Telengana,Covishield
27220,25786,53006,40062,12944,Chandigarh,Covishield
13004,23125,36129,5097,31032,Jammu and Kashmir,Covishield
8709,3727,12436,11183,1253,Ladakh,Covishield
40270,23444,63714,47132,16582,Uttar Pradesh,Covishield
48760,6133,54893,9174,45719,Uttarakhand,Covishield
23410,28148,51558,29960,21598,West Bengal,Covishield
28268,34349,62617,37579,25038,Andhra Pradesh,Covishield
28147,6171,34318,27729,6589,Bihar,Covishield
14137,47403,61540,32410,29130,Chhattisgarh,Covishield
43432,16958,60390,48696,11694,Delhi,Covishield
37415,39487,76902,25930,50972,Gujarat,Covishield
22509,46378,68887,31408,37479,Haryana,Covishield
33990,48294,82284,16830,65454,Himachal Pradesh,Covishield
36191,21804,57995,49178,8817,Karnataka,Covishield
7602,42265,49867,5216,44651,Kerala,Covishield
45443,7964,53407,20703,32704,Madhya Pradesh,Covishield
45843,46968,92811,70191,22620,Maharashtra,Covishield
33281,26531,59812,16630,43182,Odisha,Covishield
26586,48545,75131,71297,3834,Puducherry,Covishield
13971,42687,56658,31641,25017,Punjab,Covishield
18459,11330,29789,8272,21517,Rajasthan,Covishield
10363,43856,54219,18458,35761,Tamil Nadu,Covishield
43606,46267,89873,80197,9676,Telengana,Covishield
13902,36989,50891,22332,28559,Chandigarh,Covishield
23440,36273,59713,29332,30381,Jammu and Kashmir,Covishield
48964,10597,59561,17293,42268,Ladakh,Covishield
23955,17843,41798,22196,19602,Uttar Pradesh,Covishield
6811,29793,36604,23626,12978,Uttarakhand,Covishield
22260,18638,40898,32185,8713,West Bengal,Covishield
10226,4764,14990,10249,4741,Andhra Pradesh,Covishield
29819,25204,55023,5056,49967,Bihar,Covishield
7343,2421,9764,8380,1384,Chhattisgarh,Covishield
45473,11691,57164,28297,28867,Delhi,Covishield
49380,39551,88931,20804,68127,Gujarat,Covishield
38081,25860,63941,8091,55850,Haryana,Covishield
37969,42436,80405,28458,51947,Himachal Pradesh,Covishield
27443,41688,69131,60325,8806,Karnataka,Covishield
47446,24569,72015,24032,47983,Kerala,Covishield
7824,17607,25431,9707,15724,Madhya Pradesh,Covishield
40451,39683,80134,9810,70324,Maharashtra,Covishield
38564,16937,55501,11756,43745,Manipur,Covishield
7937,40589,48526,35585,12941,Odisha,Covishield
42146,34811,76957,68935,8022,Puducherry,Covishield
34949,47260,82209,26213,55996,Punjab,Covishield
28639,9148,37787,29258,8529,Rajasthan,Covishield
10086,4262,14348,8436,5912,Tamil Nadu,Covishield
20576,38937,59513,47955,11558,Telengana,Covishield
5932,21222,27154,10018,17136,Chandigarh,Covishield
39307,13358,52665,32968,19697,Jammu and Kashmir,Covishield
13754,40861,54615,35071,19544,Ladakh,Covishield
10392,14608,25000,21631,3369,Uttar Pradesh,Covishield
45965,19340,65305,46440,18865,Uttarakhand,Covishield
49673,7348,57021,22294,34727,West Bengal,Covishield
33313,11291,44604,42792,1812,Andhra Pradesh,Covishield
9716,12576,22292,5610,16682,Bihar,Covishield
3912,23953,27865,9689,18176,Chhattisgarh,Covishield
9992,20932,30924,7717,23207,Delhi,Covishield
7994,25358,33352,25917,7435,Gujarat,Covishield
13097,17612,30709,6569,24140,Haryana,Covishield
22914,43546,66460,44996,21464,Himachal Pradesh,Covishield
25263,13289,38552,20624,17928,Karnataka,Covishield
10396,8017,18413,6504,11909,Kerala,Covishield
23681,30320,54001,23960,30041,Madhya Pradesh,Covishield
10977,31287,42264,9078,33186,Maharashtra,Covishield
33021,32499,65520,33201,32319,Manipur,Covishield
24638,18482,43120,20865,22255,Mizoram,Covishield
9178,46949,56127,5392,50735,Odisha,Covishield
34323,43733,78056,60210,17846,Puducherry,Covishield
37857,48477,86334,13582,72752,Punjab,Covishield
18928,37394,56322,47151,9171,Rajasthan,Covishield
11378,2633,14011,13166,845,Tamil Nadu,Covishield
30588,46441,77029,14366,62663,Telengana,Covishield
13425,12091,25516,17434,8082,Chandigarh,Covishield
21659,19159,40818,34697,6121,Jammu and Kashmir,Covishield
42821,28389,71210,14766,56444,Ladakh,Covishield
29589,11165,40754,24474,16280,Uttar Pradesh,Covishield
7496,40836,48332,8771,39561,Uttarakhand,Covishield
46362,37208,83570,55160,28410,West Bengal,Covishield
20828,42088,62916,44373,18543,Andaman and Nicobar Islands,Covishield
46270,34988,81258,12695,68563,Andhra Pradesh,Covishield
38104,30054,68158,8757,59401,Bihar,Covishield
15191,29135,44326,17781,26545,Chandigarh,Covishield
27419,35511,62930,20225,42705,Chhattisgarh,Covishield
9442,36002,45444,29852,15592,Delhi,Covishield
11475,18974,30449,15175,15274,Goa,Covishield
10724,20291,31015,17738,13277,Gujarat,Covishield
20213,40206,60419,35603,24816,Haryana,Covishield
3930,10928,14858,13802,1056,Himachal Pradesh,Covishield
39105,18442,57547,20028,37519,Jammu and Kashmir,Covishield
34695,28324,63019,19474,43545,Karnataka,Covishield
30254,39997,70251,58583,11668,Kerala,Covishield
6328,13482,19810,7355,12455,Ladakh,Covishield
34814,32038,66852,57464,9388,Madhya Pradesh,Covishield
31886,29877,61763,15338,46425,Maharashtra,Covishield
28473,39201,67674,53579,14095,Manipur,Covishield
23676,43320,66996,23664,43332,Mizoram,Covishield
2812,31535,34347,34168,179,Odisha,Covishield
19415,41112,60527,55970,4557,Puducherry,Covishield
23881,20538,44419,24831,19588,Punjab,Covishield
16389,11490,27879,24148,3731,Rajasthan,Covishield
39026,25119,64145,63590,555,Tamil Nadu,Covishield
38632,5068,43700,13011,30689,Telengana,Covishield
32973,4248,37221,5124,32097,Uttarakhand,Covishield
11308,32277,43585,8660,34925,Uttar Pradesh,Covishield
14862,31415,46277,23027,23250,West Bengal,Covishield
23262,41310,64572,58424,6148,Andaman and Nicobar Islands,Covishield
46739,22726,69465,32821,36644,Andhra Pradesh,Covishield
40711,32991,73702,38734,34968,Bihar,Covishield
16226,40022,56248,48517,7731,Chandigarh,Covishield
3468,21894,25362,14347,11015,Chhattisgarh,Covishield
11973,4507,16480,10209,6271,Delhi,Covishield
31152,31147,62299,6875,55424,Goa,Covishield
13351,33076,46427,11089,35338,Gujarat,Covishield
31322,10932,42254,15120,27134,Haryana,Covishield
28125,38713,66838,13834,53004,Himachal Pradesh,Covishield
18134,23733,41867,13017,28850,Jammu and Kashmir,Covishield
43107,36395,79502,26540,52962,Karnataka,Covishield
19424,26213,45637,35798,9839,Kerala,Covishield
22545,3878,26423,9341,17082,Ladakh,Covishield
7928,24681,32609,28204,4405,Madhya Pradesh,Covishield
43515,43562,87077,28194,58883,Maharashtra,Covishield
23322,43726,67048,7195,59853,Manipur,Covishield
43304,8729,52033,5721,46312,Mizoram,Covishield
7882,9994,17876,12300,5576,Odisha,Covishield
35883,47141,83024,48600,34424,Puducherry,Covishield
31089,19878,50967,12221,38746,Punjab,Covishield
48376,24832,73208,15658,57550,Rajasthan,Covishield
4962,36864,41826,11844,29982,Tamil Nadu,Covishield
2661,39718,42379,12947,29432,Telengana,Covishield
14618,27964,42582,36626,5956,Uttarakhand,Covishield
45105,40432,85537,60317,25220,Uttar Pradesh,Covishield
25909,9094,35003,32821,2182,West Bengal,Covishield
5349,15612,20961,14641,6320,Andhra Pradesh,Covishield
43629,18857,62486,27306,35180,Andaman and Nicobar Islands,Covishield
7998,27663,35661,29667,5994,Bihar,Covishield
15029,39759,54788,12114,42674,Chandigarh,Covishield
38843,47291,86134,46263,39871,Chhattisgarh,Covishield
41435,15654,57089,19163,37926,Delhi,Covishield
7838,23752,31590,7908,23682,Goa,Covishield
13676,25623,39299,21195,18104,Gujarat,Covishield
32725,18874,51599,15932,35667,Haryana,Covishield
47950,16312,64262,40419,23843,Himachal Pradesh,Covishield
42831,9933,52764,33713,19051,Jammu and Kashmir,Covishield
3233,15760,18993,10153,8840,Karnataka,Covishield
39144,15336,54480,13398,41082,Kerala,Covishield
10980,45453,56433,35293,21140,Ladakh,Covishield
21830,4935,26765,21506,5259,Madhya Pradesh,Covishield
27405,29519,56924,9259,47665,Maharashtra,Covishield
40631,32927,73558,57047,16511,Manipur,Covishield
29239,44483,73722,68983,4739,Mizoram,Covishield
36520,20981,57501,50355,7146,Odisha,Covishield
30311,16059,46370,11190,35180,Puducherry,Covishield
13442,28662,42104,22639,19465,Punjab,Covishield
28441,1877,30318,21179,9139,Rajasthan,Covishield
3419,16944,20363,15835,4528,Tamil Nadu,Covishield
24199,45898,70097,64622,5475,Telengana,Covishield
18427,37245,55672,53529,2143,Uttarakhand,Covishield
31816,17081,48897,44077,4820,Uttar Pradesh,Covishield
17115,34879,51994,31489,20505,West Bengal,Covishield
18439,10572,29011,24098,4913,Andhra Pradesh,Covishield
33789,3686,37475,29599,7876,Andaman and Nicobar Islands,Covishield
1829,37050,38879,20124,18755,Bihar,Covishield
5103,26633,31736,29322,2414,Chandigarh,Covishield
6819,40950,47769,22114,25655,Chhattisgarh,Covishield
33500,10037,43537,40246,3291,Delhi,Covishield
31334,24481,55815,20106,35709,Goa,Covishield
4108,36210,40318,11975,28343,Gujarat,Covishield
28719,22087,50806,31816,18990,Haryana,Covishield
31884,43112,74996,31252,43744,Himachal Pradesh,Covishield
10515,48434,58949,32695,26254,Jammu and Kashmir,Covishield
20394,12223,32617,13267,19350,Karnataka,Covishield
1804,35420,37224,19719,17505,Kerala,Covishield
49559,31585,81144,10705,70439,Ladakh,Covishield
11825,40426,52251,43466,8785,Madhya Pradesh,Covishield
30770,42302,73072,71180,1892,Maharashtra,Covishield
20537,40306,60843,45847,14996,Manipur,Covishield
39914,14984,54898,42863,12035,Mizoram,Covishield
41808,29880,71688,9467,62221,Odisha,Covishield
3610,35420,39030,23056,15974,Puducherry,Covishield
31994,39766,71760,38203,33557,Punjab,Covishield
40933,35304,76237,32817,43420,Rajasthan,Covishield
45391,12634,58025,23908,34117,Tamil Nadu,Covishield
40115,3449,43564,5450,38114,Telengana,Covishield
19733,6060,25793,11360,14433,Uttarakhand,Covishield
4977,39235,44212,44094,118,Uttar Pradesh,Covishield
47094,19676,66770,56606,10164,West Bengal,Covishield
43582,15702,59284,25763,33521,Andhra Pradesh,Covishield
4642,19380,24022,5637,18385,Andaman and Nicobar Islands,Covishield
20076,48361,68437,23371,45066,Bihar,Covishield
39079,30443,69522,69387,135,Chandigarh,Covishield
39740,32487,72227,45768,26459,Chhattisgarh,Covishield
23598,33547,57145,33896,23249,Delhi,Covishield
7502,6302,13804,5201,8603,Goa,Covishield
15303,2737,18040,5358,12682,Gujarat,Covishield
43805,6294,50099,35590,14509,Haryana,Covishield
12413,31449,43862,19219,24643,Himachal Pradesh,Covishield
17341,20663,38004,5873,32131,Jammu and Kashmir,Covishield
32152,23149,55301,37284,18017,Karnataka,Covishield
30585,30580,61165,60944,221,Kerala,Covishield
3016,6408,9424,7678,1746,Ladakh,Covishield
47594,45890,93484,26576,66908,Madhya Pradesh,Covishield
10416,20699,31115,18584,12531,Maharashtra,Covishield
28563,17208,45771,33025,12746,Manipur,Covishield
19704,30240,49944,29141,20803,Mizoram,Covishield
33226,25471,58697,13832,44865,Odisha,Covishield
17726,14115,31841,13586,18255,Puducherry,Covishield
39585,4728,44313,5949,38364,Punjab,Covishield
5128,10784,15912,9412,6500,Rajasthan,Covishield
11579,39101,50680,37643,13037,Tamil Nadu,Covishield
31440,11131,42571,14581,27990,Telengana,Covishield
30642,21244,51886,33106,18780,Uttarakhand,Covishield
10240,12463,22703,9924,12779,Uttar Pradesh,Covishield
15097,48510,63607,27196,36411,West Bengal,Covishield
13595,30935,44530,15261,29269,Unassigned,Covishield
3350,33766,37116,11904,25212,Andhra Pradesh,Covishield
14234,10698,24932,18690,6242,Andaman and Nicobar Islands,Covishield
16790,47302,64092,63119,973,Bihar,Covishield
13890,41364,55254,17324,37930,Chandigarh,Covishield
34132,11022,45154,33073,12081,Chhattisgarh,Covishield
40182,44403,84585,21210,63375,Delhi,Covishield
16847,34819,51666,39641,12025,Goa,Covishield
43601,15122,58723,50713,8010,Gujarat,Covishield
37278,31839,69117,18129,50988,Haryana,Covishield
13368,27163,40531,19199,21332,Himachal Pradesh,Covishield
11966,32698,44664,40218,4446,Jammu and Kashmir,Covishield
16201,39570,55771,19237,36534,Karnataka,Covishield
12730,19843,32573,9513,23060,Kerala,Covishield
12210,37911,50121,29692,20429,Ladakh,Covishield
34232,40977,75209,46724,28485,Madhya Pradesh,Covishield
29541,33933,63474,36100,27374,Maharashtra,Covishield
25947,4904,30851,22568,8283,Manipur,Covishield
